VNET
TWOU
JOBS
EGHT
ACIA
ACIW
ACMR
ATVI
IOTS
ADBE
AMD
AGYS
AGMH
AIRG
AMCN
ALRM
ALYA
ALLT
MDRX
AOSL
GOOG
GOOGL
AABA
ALTR
AMBA
DOX
AMRH
AMRHW
AMSWA
AMKR
ASYS
ADI
ANSS
APPF
APPN
AAPL
AMAT
AAOI
ASML
AZPN
ALOT
ASUR
TEAM
ATOM
AEYE
JG
ADSK
ADP
AUTO
AVNW
AVID
AVT
AWRE
ACLS
AXTI
BOSC
BIDU
BAND
BBSI
BNFT
BILI
BKYI
BLKB
BL
BRQS
EPAY
BLIN          
BCOV
AVGO
BVSN
BRKS
CCMP
CDNS
CAMP
CSIQ
CBLK
CARB
CDLX
CARG
CASA
CRNT
CERN
CEVA
CYOU
CHKP
CCIH
CNET
IMOS
CRUS
CSCO
CTXS
CLPS
CTSH
CCNI
COMM
CVLT
CPSI
CTG
CMTL
AWSM
CSOD
CPAH
COUP
CRAY
CREX
CREXW
CREE
CRTO
CCRN
CSGS
CSPI
CUI
CVV
CYBR
CY
CYRN
DTSS
DGII
DMRC
DGLY
DIOD
DLHC
DOCU
DOMO
DBX
DSPG
EBIX
SATS
EGAN
EA
EFII
ELTK
EMKR
EIGI
WATT
ERII
ENPH
EVSI
EVSIW
PLUS
ERIC
EVBG
EVER
MRAM
EVOL
EXTR
FFIV
FB
FNSR
FEYE
FSLR
FISV
FIVN
FLEX
FPAY
FPAYW
FSCT
FRSX
FORM
FORTY
FTNT
FTEO
GDS
GFN
GFNCP
GFNSL
GIGM
GILT
GLUU
GEC
GRNQ
GSUM
GRPN
GVP
GSIT
GTYH
HLIT
HHR
HSTM
HSII
HIMX
HSON
ICHR
ICLK
INVE
INFO
IMMR
INOD
ISSC
INOV
INPX
INSE
INTC
IMI
INAP
IVAC
INTU
IPGP
ITRN
JCOM
JKHY
JMU
KELYA
KELYB
KTCC
KFRC
KE
KOPN
KLIC
KVHI
LRCX
LTRX
LSCC
LTRPA
LTRPB
LPTH
LECO
LIQT
LPSN
LOGI
LOGM
LORL
LKCO
MTSI
MGIC
MJCO
MAMS
MANH
MNTX
MRIN
MRVL
MTCH
MTLS
MXIM
MGRC
MDCA
MDSO
MLNX
MCHP
MU
MSFT
MSTR
MIME
MNDO
MIND
MINDP
MITK
MOBL
MOMO
MDB
MPWR
TYPE
MOSY
MOXC
MTBC
MTBCP
MTEC
MTECU
MTECW
MYSZ
NNDM
NH
NATI
NETE
NTAP
NTCT
NTWK
NXGN
NICE
LASR
NUAN
NTNX
NVEC
NVDA
NXPI
OIIM
OKTA
OMCL
ON
OTIV
OSS
OSPN
OTEX
OSIS
PFIN
TEUM
PCYG
PCTY
PCTI
PDFS
PEGA
PRFT
PERI
PLAB
PHUN
PHUNW
PT
PXLW
PLXS
PS
PNTR
POWI
PBTS
PSDO
IPDN
PRGS
PFPT
PTC
QADA
QADB
QRVO
QCOM
QBAK
QLYS
QTNA
QRHC
QUIK
QUMU
RADA
RDCM
RMBS
RPD
RCMT
RNWK
RP
RDVT
RCII
RESN
RBBN
RELL
RBCN
RMBL
SABR
SFET
SANM
SPNS
SCSC
SGMS
SCPL
SEAC
STX
SCWX
LEDS
SMTC
SGOC
SHSP
PIXY
SSTI
SWIR
SIFY
SGMA
SILC
SLAB
SIMO
SLP
SINA
SWKS
SGH
SMSI
SMTX
SRAX
SCKT
SOHU
SEDG
SY
ANY
SPI
SPLK
SPSC
SSNC
STAF
STNE
SSYS
STRM
WISA
SPWR
SPCB
SCON
SPRT
SVMK
SYKE
SYMC
SYNC
SYNA
SNCR
SNPS
TAIT
TTWO
TLND
TAOP
TRNX
TECD
TCCO
TENB
TESS
TXN
DSGX
KEYW
MIDD
TSG
TTD
TSEM
TACT
TZOO
TRIP
TRVG
TRUE
TSRI
TTEC
TTMI
TCX
TWIN
UBNT
UCTT
UPLD
UPWK
VRNS
VECO
VRNT
VRSN
VRSK
VERI
VSAT
VIAV
VRTU
VOXX
VUZI
WSTG
WB
WDC
WIX
WDAY
XLNX
XPER
XNET
YNDX
YY
ZBRA
ZIXI
ZM
ZS
ZNGA
